Ramo_Desc	Apertura_Canal_Desc	Apertura_Amparo_Desc	Agrupacion_Reservas	Fecha_Registro	Expuestos	Vigentes
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-01-01	20251.645007	26414
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-02-01	18123.891556	23956
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-03-01	17844.064179	21394
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-04-01	16349.298917	20157
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-05-01	15181.419551	19583
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-06-01	10123.563657	24964
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-07-01	13654.289601	17667
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-08-01	13912.677469	17240
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-09-01	13180.466009	15374
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-10-01	12273.870867	14683
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-11-01	13220.266661	13295
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2014-12-01	11119.483714	13763
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-01-01	9762.548315	11846
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-02-01	8765.821013	10456
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-03-01	8116.451492	9434
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-04-01	7577.33294	8897
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-05-01	7224.677253	8758
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-06-01	6779.499565	8165
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-07-01	6481.193501	7599
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-08-01	5837.967642	7151
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-09-01	5191.432961	6413
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-10-01	4795.419277	5794
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-11-01	4367.366387	5421
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2015-12-01	4208.548358	4994
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-01-01	3763.580581	4551
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-02-01	3363.448455	4163
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-03-01	3010.193519	3783
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-04-01	2876.433201	3502
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-05-01	3014.193371	4668
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-06-01	2454.132147	6879
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-07-01	2202.35461	5659
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-08-01	2476.257947	3813
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-09-01	6130.332967	7371
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-10-01	6098.709612	6875
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-11-01	6085.166358	7047
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2016-12-01	6552.06449	6944
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-01-01	6540.580642	6588
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-02-01	6539.0	6539
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-03-01	6539.0	6539
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-04-01	6539.133332	6543
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-05-01	5268.031987	8210
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-06-01	5486.499857	5961
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-07-01	5220.774162	5641
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-08-01	5098.322552	5448
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-09-01	938.331843	5327
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-10-01	1879.999776	3062
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-11-01	2865.466557	3209
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2017-12-01	3019.322419	5427
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-01-01	3016.032233	3294
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-02-01	3379.535665	3715
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-03-01	3621.74177	6045
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-04-01	4071.565852	6385
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-05-01	4387.612741	6718
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-06-01	4752.132541	7071
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-07-01	5063.128826	7587
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-08-01	5577.774022	8066
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-09-01	5856.399219	8141
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-10-01	6198.870792	8629
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-11-01	6593.399188	8963
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2018-12-01	4586.903057	7066
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-01-01	6604.612902	6964
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-02-01	4728.534958	7347
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-03-01	6062.677398	6615
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-04-01	5936.232741	7780
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-05-01	5836.870948	6356
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-06-01	5762.133276	6025
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-07-01	5652.870954	5978
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-08-01	5606.548375	5895
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-09-01	5553.033253	5824
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-10-01	4770.90326	5718
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-11-01	4033.033257	4297
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2019-12-01	4185.354818	4483
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-01-01	4346.838696	4589
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-02-01	4400.68961	4609
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-03-01	4291.838699	4603
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-04-01	4103.933297	4299
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-05-01	3763.903208	4013
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-06-01	3541.233305	3669
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-07-01	3353.80645	3495
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-08-01	3186.25806	3334
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-09-01	3035.99998	3133
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-10-01	2915.806451	3004
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-11-01	2783.366647	2884
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2020-12-01	2673.096773	2768
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-01-01	2568.870964	2639
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-02-01	2476.892837	2546
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-03-01	2334.193546	2450
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-04-01	2146.566633	2307
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-05-01	1946.709673	1996
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-06-01	1601.066609	1803
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-07-01	1441.09677	1577
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-08-01	1351.645168	1448
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-09-01	1172.399975	1267
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-10-01	997.45161	1030
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-11-01	812.366664	841
025G - SEGURO DESEMPLEO GENERALES	Resto	RESTO	025G	2021-12-01	620.161282	802
